city,timestamp,temperature,season
New York,2010-01-01,4.78412765803149,winter
New York,2010-01-02,6.923096570061507,winter
New York,2010-01-03,1.7194476855789036,winter
New York,2010-01-04,7.158968969477309,winter
New York,2010-01-05,-2.162887203730423,winter
New York,2010-01-06,1.5870534856986616,winter
New York,2010-01-07,-10.244328941112094,winter
New York,2010-01-08,3.1441301207135437,winter
New York,2010-01-09,-5.165810804503971,winter
New York,2010-01-10,-3.440005964832944,winter
New York,2010-01-11,0.0023841849418807072,winter
New York,2010-01-12,-8.337092902727038,winter
New York,2010-01-13,-0.21181361604047197,winter
New York,2010-01-14,1.3470614251813495,winter
New York,2010-01-15,2.512844425135409,winter
New York,2010-01-16,-6.467484693135849,winter
New York,2010-01-17,-6.502999972609478,winter
New York,2010-01-18,-1.7865133901581016,winter
New York,2010-01-19,1.0592198960467514,winter
New York,2010-01-20,1.4723149683490777,winter
New York,2010-01-21,-2.730189425030728,winter
New York,2010-01-22,1.0101265598782239,winter
New York,2010-01-23,-2.5981196617187434,winter
New York,2010-01-24,-0.06326878181254607,winter
New York,2010-01-25,3.6801939299911024,winter
New York,2010-01-26,-3.564926865541426,winter
New York,2010-01-27,0.7360942985200662,winter
New York,2010-01-28,-5.596183863061752,winter
New York,2010-01-29,4.274320815344435,winter
New York,2010-01-30,3.455710453844029,winter
New York,2010-01-31,13.615257105394212,winter
New York,2010-02-01,3.4199811762646686,winter
New York,2010-02-02,-13.84356837683347,winter
New York,2010-02-03,0.7009296700565892,winter
New York,2010-02-04,6.31070285642675,winter
New York,2010-02-05,3.477653424593315,winter
New York,2010-02-06,1.439315016774182,winter
New York,2010-02-07,0.5804161245095778,winter
New York,2010-02-08,-5.447987648877872,winter
New York,2010-02-09,0.6168216311162782,winter
New York,2010-02-10,2.6093800705369574,winter
New York,2010-02-11,7.382121445824175,winter
New York,2010-02-12,-2.823639943178205,winter
New York,2010-02-13,1.981213521034053,winter
New York,2010-02-14,1.8746359958142913,winter
New York,2010-02-15,-5.096957469540081,winter
